epoch,learning_rate,loss,mae,mape,val_learning_rate,val_loss,val_mae,val_mape
0,9.999999747378752e-05,18721.9453125,97.2768783569336,30.726037979125977,NA,NA,NA,NA
1,9.999999747378752e-05,3445.811767578125,47.770904541015625,16.066160202026367,NA,NA,NA,NA
2,9.999999747378752e-05,3383.1826171875,47.471256256103516,15.96898365020752,NA,NA,NA,NA
3,9.999999747378752e-05,3355.4638671875,47.23066711425781,15.909133911132812,NA,NA,NA,NA
4,9.999999747378752e-05,3327.832275390625,46.95656204223633,15.787698745727539,NA,NA,NA,NA
5,9.999999747378752e-05,3284.572998046875,46.666282653808594,15.696100234985352,NA,NA,NA,NA
6,9.999999747378752e-05,3249.9658203125,46.384944915771484,15.636383056640625,NA,NA,NA,NA
7,9.999999747378752e-05,3216.875244140625,46.06892395019531,15.462559700012207,NA,NA,NA,NA
8,9.999999747378752e-05,3219.61083984375,46.0777702331543,15.522467613220215,NA,NA,NA,NA
9,9.999999747378752e-05,3215.37646484375,46.17656707763672,15.51618766784668,NA,NA,NA,NA
